성별,산업별,2021,2022,2023,2024,2025
계,계,27273,28089,28416,28576,28769
,"A 농업, 임업 및 어업(01~03)",1458,1526,1513,1485,1378
,"* 광공업(B,C)",4380,4512,4468,4463,4391
,B 광업(05~08),12,9,8,8,9
,C 제조업(10~34),4368,4503,4461,4455,4382
,* 사회간접자본 및 기타서비스업(D~U),21435,22051,22435,22628,23000
,"D 전기, 가스, 증기 및 공기조절 공급업(35)",71,80,89,92,97
,"E 수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",169,154,147,142,148
,F 건설업(41~42),2090,2123,2114,2065,1940
,"* 도소매·숙박음식점업(G,I)",5451,5495,5572,5536,5532
,"* 사업·개인·공공서비스 및 기타(E,L~U)",10577,10989,11229,11358,11764
,"* 전기·운수·통신·금융(D,H,J,K)",3317,3444,3521,3669,3764
,G 도매 및 소매업(45~47),3353,3313,3276,3215,3213
,H 운수 및 창고업(49~52),1586,1655,1644,1701,1717
,I 숙박 및 음식점업(55~56),2098,2182,2296,2322,2319
,J 정보통신업(58~63),901,981,1037,1109,1139
,K 금융 및 보험업(64~66),759,728,751,767,811
,L 부동산업(68),531,552,534,520,528
,"M 전문, 과학 및 기술 서비스업(70~73)",1219,1288,1357,1422,1476
,"N 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1397,1423,1431,1379,1374
,"O 공공행정, 국방 및 사회보장 행정(84)",1184,1259,1270,1308,1329
,P 교육 서비스업(85),1840,1902,1896,1900,1944
,Q 보건업 및 사회복지 서비스업(86~87),2534,2714,2858,2941,3177
,"R 예술, 스포츠 및 여가관련 서비스업(90~91)",467,482,512,522,553
,"S 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",1135,1119,1130,1131,1145
,T 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98),87,80,77,79,78
,U 국제 및 외국기관(99),15,16,17,15,13
남자,계,15548,15928,15952,15924,15943
,"A 농업, 임업 및 어업(01~03)",897,932,921,890,850
,"* 광공업(B,C)",3121,3222,3176,3214,3177
,B 광업(05~08),10,8,6,6,8
,C 제조업(10~34),3111,3214,3170,3208,3169
,* 사회간접자본 및 기타서비스업(D~U),11530,11775,11855,11820,11917
,"D 전기, 가스, 증기 및 공기조절 공급업(35)",57,64,72,77,78
,"E 수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",139,128,123,118,129
,F 건설업(41~42),1875,1887,1856,1806,1698
,"* 도소매·숙박음식점업(G,I)",2626,2616,2605,2567,2585
,"* 사업·개인·공공서비스 및 기타(E,L~U)",4631,4778,4840,4821,4949
,"* 전기·운수·통신·금융(D,H,J,K)",2398,2494,2554,2628,2684
,G 도매 및 소매업(45~47),1813,1768,1692,1667,1702
,H 운수 및 창고업(49~52),1388,1453,1458,1493,1486
,I 숙박 및 음식점업(55~56),814,849,913,900,883
,J 정보통신업(58~63),618,656,688,720,766
,K 금융 및 보험업(64~66),335,322,336,338,355
,L 부동산업(68),328,339,318,307,304
,"M 전문, 과학 및 기술 서비스업(70~73)",779,806,854,888,925
,"N 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",803,817,836,803,811
,"O 공공행정, 국방 및 사회보장 행정(84)",684,720,706,687,700
,P 교육 서비스업(85),609,626,630,622,616
,Q 보건업 및 사회복지 서비스업(86~87),455,486,510,536,577
,"R 예술, 스포츠 및 여가관련 서비스업(90~91)",240,249,257,263,281
,"S 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",580,591,591,582,595
,T 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98),3,2,1,2,3
,U 국제 및 외국기관(99),11,14,14,12,8
여자,계,11725,12161,12464,12652,12826
,"A 농업, 임업 및 어업(01~03)",562,594,592,595,528
,"* 광공업(B,C)",1258,1291,1292,1249,1215
,B 광업(05~08),2,1,1,2,1
,C 제조업(10~34),1257,1290,1291,1247,1214
,* 사회간접자본 및 기타서비스업(D~U),9905,10276,10580,10808,11083
,"D 전기, 가스, 증기 및 공기조절 공급업(35)",15,16,17,14,19
,"E 수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",30,27,23,24,19
,F 건설업(41~42),215,236,257,259,242
,"* 도소매·숙박음식점업(G,I)",2825,2878,2967,2970,2947
,"* 사업·개인·공공서비스 및 기타(E,L~U)",5946,6211,6388,6538,6815
,"* 전기·운수·통신·금융(D,H,J,K)",919,950,968,1041,1079
,G 도매 및 소매업(45~47),1540,1545,1584,1548,1511
,H 운수 및 창고업(49~52),198,202,187,208,231
,I 숙박 및 음식점업(55~56),1284,1333,1384,1422,1436
,J 정보통신업(58~63),283,325,349,389,374
,K 금융 및 보험업(64~66),424,407,414,429,456
,L 부동산업(68),203,213,216,213,223
,"M 전문, 과학 및 기술 서비스업(70~73)",440,482,504,534,550
,"N 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",593,606,595,576,563
,"O 공공행정, 국방 및 사회보장 행정(84)",500,539,563,620,629
,P 교육 서비스업(85),1231,1276,1266,1278,1328
,Q 보건업 및 사회복지 서비스업(86~87),2079,2229,2348,2405,2600
,"R 예술, 스포츠 및 여가관련 서비스업(90~91)",227,233,255,259,272
,"S 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",554,528,539,548,550
,T 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98),84,78,76,78,75
,U 국제 및 외국기관(99),4,2,4,3,5
